"","SampleID","Site","Treatment","TREATMENT_PHASE","inctime_hours","DryMass_SoilOnly_g","CO2_flux_mgC_hr","cumCO2_flux_mgC_gSoil","CO2_flux_mgC_gSoil_hr"
"83","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",168.89,320.73,1.28758102464828,1.81145337044052,0.004014532549647
"84","C12","CPCRW","saturation","SATURATION_INCUBATION",73.18,232.06,9.86483842595528,4.09145077652122,0.0425098613546293
"85","C15","CPCRW","saturation","SATURATION_INCUBATION",73.15,156.34,26.6947390299,23.2203319618933,0.170747978955482
"86","C14","CPCRW","saturation","SATURATION_INCUBATION",72.79,233.1,1.54451399976247,1.04000096837539,0.0066259716849527
"87","C13","CPCRW","saturation","SATURATION_INCUBATION",73.53,138.96,8.17083272619004,9.75220575932609,0.0587998900848448
"88","C11","CPCRW","saturation","SATURATION_INCUBATION",73.69,150.55,3.05830472138953,4.68413837298557,0.0203142126960447
"89","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",170.22,278.9,4.79398591859436,2.23324523040998,0.0171889061261899
"90","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",170.34,213.67,3.15918626054349,2.59492057279529,0.0147853524619436
"91","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",170.47,209.99,19.2075587458324,17.1583693349977,0.091468921119255
"92","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",170.38,168.51,3.48933233615054,3.31519061981908,0.0207069748747881
"93","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",170.51,320.73,2.12889602639565,1.82220637627958,0.0066376579253442
"94","C12","CPCRW","saturation","SATURATION_INCUBATION",74.79,232.06,22.4940721621231,4.24751152021258,0.0969321389387359
"95","C15","CPCRW","saturation","SATURATION_INCUBATION",74.77,156.34,32.41517501842,23.5562190255356,0.207337693606371
"96","C14","CPCRW","saturation","SATURATION_INCUBATION",74.41,233.1,3.57940395241381,1.06487713484004,0.0153556583115136
"97","C12","CPCRW","saturation","SATURATION_INCUBATION",120.36,232.06,13.6782267283435,6.93352717138303,0.0589426300454344
"98","C11","CPCRW","saturation","SATURATION_INCUBATION",120.66,150.55,3.91982004533347,5.90708056846423,0.0260366658607338
"99","C13","CPCRW","saturation","SATURATION_INCUBATION",120.64,138.96,6.81815555007326,12.0636860987328,0.0490655983741599
"100","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",216.45,209.99,5.8566682702605,18.4407618635304,0.0278902246309848
"101","C14","CPCRW","saturation","SATURATION_INCUBATION",120.23,233.1,7.29727053569781,2.49928698445683,0.0313053219034655
"102","C15","CPCRW","saturation","SATURATION_INCUBATION",120.67,156.34,48.5206892340563,37.8014514410606,0.310353647397059
"103","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",216.41,278.9,3.75162356340107,2.85457005075238,0.0134515007651526
"104","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",216.49,168.51,4.55646674943226,4.56199307555656,0.0270397409615587
"105","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",216.62,320.73,2.65511460260499,2.20392100954156,0.00827834815142017
"106","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",216.62,213.67,3.0448407156741,3.25441993312382,0.0142502022542898
"107","C12","CPCRW","saturation","SATURATION_INCUBATION",120.99,232.06,14.4723417064803,6.97281690367244,0.0623646544276494
"108","C11","CPCRW","saturation","SATURATION_INCUBATION",121.29,150.55,2.42333795398853,5.91722140480441,0.0160965656193194
"109","C13","CPCRW","saturation","SATURATION_INCUBATION",121.26,138.96,5.93986794409197,12.0901881002104,0.0427451636736612
"110","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",217.08,209.99,3.92889946850419,18.452549123234,0.0187099360374503
"111","C14","CPCRW","saturation","SATURATION_INCUBATION",120.85,233.1,4.45529565214593,2.51113719168261,0.0191132374609435
"112","C15","CPCRW","saturation","SATURATION_INCUBATION",121.29,156.34,34.2640151977908,37.9373327857109,0.219163459113412
"113","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",217.03,278.9,1.9829290078149,2.8589781396188,0.00710982075229436
"114","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",217.12,168.51,5.62800355386191,4.58303421399898,0.0333986324482934
"115","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",217.24,320.73,1.58585288488601,2.20698660611385,0.00494451060046149
"116","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",217.24,213.67,1.91146177730186,3.2599663659498,0.00894585939674197
"117","C12","CPCRW","saturation","SATURATION_INCUBATION",121.61,232.06,7.76163995372082,6.99355385433739,0.0334466946208775
"118","C11","CPCRW","saturation","SATURATION_INCUBATION",121.91,150.55,2.94573736151365,5.92935263804345,0.0195665052242687
"119","C13","CPCRW","saturation","SATURATION_INCUBATION",121.89,138.96,3.66055179759223,12.1067838661322,0.0263424855900419
"120","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",217.7,209.99,3.6534029982994,18.4633358743123,0.0173979856102643
"121","C14","CPCRW","saturation","SATURATION_INCUBATION",121.48,233.1,3.62700628132629,2.52093991136187,0.0155598725067623
"122","C15","CPCRW","saturation","SATURATION_INCUBATION",121.92,156.34,24.4050144435445,38.0356771575891,0.156102177584396
"123","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",217.66,278.9,2.05135973442237,2.86361190309204,0.00735518011625087
"124","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",217.74,168.51,2.89208189524546,4.59367507077337,0.0171626722167554
"125","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",217.86,320.73,1.38485567829534,2.20966365696828,0.00431782395876701
"126","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",217.86,213.67,2.01266250947348,3.26580644998534,0.00941949037990117
"127","C12","CPCRW","saturation","SATURATION_INCUBATION",123.23,232.06,13.2759137017731,7.08623238660005,0.0572089705325048
"128","C11","CPCRW","saturation","SATURATION_INCUBATION",123.53,150.55,3.75506501719116,5.96975918289798,0.0249423116385995
"129","C13","CPCRW","saturation","SATURATION_INCUBATION",123.5,138.96,8.60057564093507,12.2064307197728,0.0618924556774257
"130","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",219.31,209.99,7.38626253438245,18.5199665837764,0.0351743537043786
"131","C14","CPCRW","saturation","SATURATION_INCUBATION",123.09,233.1,6.55351365698206,2.56620442010379,0.0281146017030547
"132","C15","CPCRW","saturation","SATURATION_INCUBATION",123.53,156.34,44.1932110258317,38.4907818636885,0.282673730496557
"133","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",219.27,278.9,3.45803817306858,2.88357404528867,0.012398846084864
"134","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",219.35,168.51,6.11402000314931,4.65209043012932,0.0362828318981028
"135","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",219.48,320.73,2.4290013254953,2.22193248790802,0.00757335243193745
"136","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",219.48,213.67,3.03134598004571,3.28878946345318,0.0141870453505205
"137","C12","CPCRW","saturation","SATURATION_INCUBATION",123.85,232.06,6.38317000254895,7.10328644762556,0.0275065500411486
"138","C11","CPCRW","saturation","SATURATION_INCUBATION",124.15,150.55,3.18959255403888,5.9828946686735,0.0211862673798664
"139","C13","CPCRW","saturation","SATURATION_INCUBATION",124.12,138.96,4.717657978934,12.2274795679805,0.0339497551736759
"140","C15","CPCRW","saturation","SATURATION_INCUBATION",240.79,156.34,15.4383066389239,50.0700055842989,0.09874828347783
"141","C14","CPCRW","saturation","SATURATION_INCUBATION",240.52,233.1,0.317574183114709,2.72619041891615,0.00136239460795671
"142","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",336.74,213.67,2.34822685959249,4.57747332902071,0.0109899698581574
"143","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",336.86,209.99,46.3258674732741,44.4526572903975,0.220609874152455
"144","C12","CPCRW","saturation","SATURATION_INCUBATION",241.11,232.06,1.98763501186416,8.10763912146504,0.00856517716049366
"145","C11","CPCRW","saturation","SATURATION_INCUBATION",241.28,150.55,5.95478396988761,10.6157996596595,0.0395535301885594
"146","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",336.86,278.9,0.625669451761387,3.14736920782945,0.00224334690484542
"147","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",337.03,320.73,2.18922933399231,3.02430179608249,0.00682577038004649
"148","C13","CPCRW","saturation","SATURATION_INCUBATION",241.38,138.96,6.51832272488141,17.7279007159338,0.0469079067708795
"149","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",337.03,168.51,3.40251991045659,7.02826123935447,0.0201917981749248
"150","C15","CPCRW","saturation","SATURATION_INCUBATION",241.42,156.34,17.4599830649012,50.1403637097363,0.111679564186396
"151","C14","CPCRW","saturation","SATURATION_INCUBATION",241.14,233.1,0.533541373670671,2.72760953368095,0.00228889478194196
"152","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",337.36,213.67,1.13376038982168,4.58076312843893,0.00530612809389097
"153","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",337.49,209.99,24.5225092458608,44.5262283215175,0.116779414476217
"154","C12","CPCRW","saturation","SATURATION_INCUBATION",241.73,232.06,0.968538972907852,8.110226789151,0.00417365755799298
