SampleID,Site,Treatment,HeadSpace_Ht_cm,soil_pH_water_airdried,DryMass_SoilOnly_g,DryMass_NONsoil_ALL_g,VolumeSoil_cm3,rownum,TREATMENT_PHASE,sequence_valve,Picarro_start,Picarro_stop,Total_core_mass_pot_pie_pans_g,Additional_Wt_toRemove,picarro_records
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,296,DROUGHT_PRE_INCUBATION,14,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,336.9,NA,56
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,297,DROUGHT_PRE_INCUBATION,9,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,349.06,NA,56
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,298,DROUGHT_PRE_INCUBATION,15,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,349.77,NA,56
C16,CPCRW,field_moist,0,4.89,213.67,124.03,318.5,300,FIELD_MOIST_INCUBATION,6,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,422.1,NA,45
C17,CPCRW,field_moist,3,4.99,209.99,129.62,174.69,301,FIELD_MOIST_INCUBATION,7,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,417.37,NA,45
C18,CPCRW,field_moist,0,4.9,168.51,143.44,312.5,302,FIELD_MOIST_INCUBATION,4,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,391.2,NA,45
C19,CPCRW,field_moist,0,5.22,320.73,109.36,327.5,303,FIELD_MOIST_INCUBATION,10,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,534.74,NA,45
C20,CPCRW,field_moist,0,4.96,278.9,150.95,302.5,304,FIELD_MOIST_INCUBATION,13,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,523.18,NA,45
C11,CPCRW,sat_II,3,NA,150.55,249.76,206.69,305,SATURATION_INCUBATION,3,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,547.81,NA,45
C12,CPCRW,sat_II,3,NA,232.06,137.83,171.69,306,SATURATION_INCUBATION,9,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,533.41,NA,45
C13,CPCRW,sat_II,1,NA,138.96,296.76,186.9,307,SATURATION_INCUBATION,15,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,587.19,NA,45
C14,CPCRW,sat_II,1.5,NA,233.1,151.38,235.09,308,SATURATION_INCUBATION,12,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,586.52,NA,45
C15,CPCRW,sat_II,5,4.77,156.34,112.97,94.48,309,SATURATION_INCUBATION,11,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,463.35,NA,45
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,310,DROUGHT_PRE_INCUBATION,5,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,511.23,NA,45
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,311,DROUGHT_PRE_INCUBATION,8,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,380.64,NA,45
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,312,DROUGHT_PRE_INCUBATION,2,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,335.38,NA,45
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,313,DROUGHT_PRE_INCUBATION,14,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,344.95,NA,45
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,314,DROUGHT_PRE_INCUBATION,1,2016-10-27T17:52:00Z,2016-10-27T23:05:00Z,348.55,NA,45
C16,CPCRW,field_moist,0,4.89,213.67,124.03,318.5,316,FIELD_MOIST_INCUBATION,4,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,420.78,NA,57
C17,CPCRW,field_moist,3,4.99,209.99,129.62,174.69,317,FIELD_MOIST_INCUBATION,1,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,415.88,NA,57
C18,CPCRW,field_moist,0,4.9,168.51,143.44,312.5,318,FIELD_MOIST_INCUBATION,2,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,391.39,NA,57
C19,CPCRW,field_moist,0,5.22,320.73,109.36,327.5,319,FIELD_MOIST_INCUBATION,8,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,533.42,NA,57
C20,CPCRW,field_moist,0,4.96,278.9,150.95,302.5,320,FIELD_MOIST_INCUBATION,6,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,523.32,NA,57
